aksara_lontara,aksara_latin
ᨕᨅᨌ,abbacang
ᨕᨅᨌᨂᨙ,abbacangngè
ᨕᨌᨛᨊᨚᨑᨛᨊ,acennorenna
ᨕᨉᨕᨗ,adai
ᨕᨉ,ada
ᨕᨉᨊ,adanna
ᨕᨉᨗᨉᨗ,addidi
ᨕᨁᨆ,agama
ᨕᨁᨊ,agana
ᨕᨁᨈᨘ,agatu
ᨕᨁᨘᨑᨘ,aggurung
ᨕᨁᨘᨑᨘᨂᨙ,aggurungè
ᨕᨁᨘᨑᨘᨂᨙᨉᨙ,aggurungèdè
ᨕᨁᨘᨑᨘᨂᨙᨓᨙ,aggurungèwè
ᨕᨁᨘᨑᨘᨂᨙ,aggurungngè
ᨕᨍ,aja
ᨕᨍᨚᨄᨂᨛᨈ,ajoppangetta
ᨕᨀᨛᨔᨗᨂᨛ,akessingeng
ᨕᨀᨛᨔᨗᨂᨛᨊ,akessingenna
ᨕᨀᨑᨘᨂᨛᨊ,akkarungenna
ᨕᨀᨈᨛᨊᨗᨂᨛ,akkatenningeng
ᨕᨀᨈ,akkatta
ᨕᨀᨈᨊ,akkattana
ᨕᨀᨈᨕᨙ,akkattangè
ᨕᨀᨈᨘᨕᨚᨊ,akkatuonna
ᨕᨀᨙᨁᨘᨊᨊ,akkègunana
ᨕᨀᨙᨁᨘᨊᨂᨛᨊ,akkègunangenna
ᨕᨀᨘᨕᨔᨂᨛᨊ,akkuasangenna
ᨕᨒ,ala
ᨕᨒᨕᨗᨖᨗ,alaihi
ᨕᨒᨕᨗᨀᨘ,alaikum
ᨕᨒᨙᨀᨘ,alèku’
ᨕᨒᨙᨊ,alèna
ᨕᨒᨙᨈ,alèta’
ᨕᨒᨗ,ali
ᨕᨒᨖᨘ,allahu
ᨕᨆᨔᨁᨙᨊᨂᨛᨂᨙ,amasagènangenge
ᨕᨆᨕᨘᨑᨙᨊᨆᨗ,amaurènami
ᨕᨅᨚᨀᨘ,ambo’ku’
ᨕᨅᨚᨊ,ambo’na
ᨕᨆᨗᨊ,amina
ᨕᨊ,ana’
ᨕᨊᨊ,ana’na
ᨕᨂᨗ,anging
ᨕᨊᨘ,anu
ᨕᨊᨘᨑᨙᨊ,anurena
ᨕᨄᨗ,api
ᨕᨄᨚᨂᨛᨊ,appongenna
ᨕᨑ,ara'
ᨕᨑᨙ,arè’
ᨕᨑᨘ,arung
ᨕᨔᨛ,aseng
ᨕᨔᨛᨊ,asenna
ᨕᨔᨒᨆᨘ,assalamu
ᨕᨈᨘ,atu
ᨕᨈᨘᨕᨈᨘᨊ,atu-atuna
ᨕᨈᨘᨊ,atuna
ᨕᨈᨘᨕᨚᨂᨙ,atuongèng
ᨕᨈᨘᨕᨚᨊ,atuonna
ᨕᨓ,awa
ᨅ,ba
ᨅᨅᨘᨕᨆᨘ,babuamu
ᨅᨌ,baca
ᨅᨌᨅᨌ,baca-baca
ᨅᨌᨅᨌᨕᨙ,baca-bacaè
ᨅᨌᨚ,baco
ᨅᨁᨙᨉ,bagenda
ᨅᨕᨗᨌᨘᨕᨙ,baiccuè
ᨅᨍᨚᨕᨙ,bajoè
ᨅᨒᨉᨕᨙ,balandaè
ᨅᨒᨗ,bali
ᨅᨒᨗᨊᨗ,balini
ᨅᨒᨘ,balu’
ᨅᨒᨘᨀᨘ,balu’ku
ᨅᨇ,bampa
ᨅᨈᨘᨕ,bantuang
ᨅᨑᨀ,barakka’
ᨅᨑᨀᨆᨘ,barakka’mu
ᨅᨑᨀᨘᨕᨆᨛᨂᨗ,barakkuammengngi
ᨅᨑᨗᨔᨗ,barisi’
ᨅᨑᨘ,baru
ᨅᨔ,basa
ᨅᨔᨊ,basana
ᨅᨈ,bata'
ᨅᨈᨙᨊ,batèna
ᨅᨈᨙᨈ,batèta
ᨅᨓᨊ,bawanna
ᨅᨛᨉ,bedda’
ᨅᨛᨉᨘ,beddu
ᨅᨙᨒᨚ,bèlo
ᨅᨛᨈᨘ,bentu’
ᨅᨙᨈᨙ,bètè
ᨅᨛᨈᨘᨕ,bettuang
ᨅᨛᨈᨘᨕᨊ,bettuanna
ᨕᨀᨙᨅᨛᨈᨘᨕᨂᨗ,akkèbettuangi
ᨅᨙᨕᨘ,bèu
ᨅᨗᨕᨔᨆᨘᨈᨚᨕᨗ,biasamutoai
ᨅᨗᨌᨑ,bicara
ᨅᨗᨉᨉᨑᨗ,bidadari
ᨅᨗᨒᨗ,bili’
﷽,bismillahirrahmanirrahim
ᨅᨚᨀᨚ,bokong
ᨅᨚᨒ,bola
ᨅᨚᨒᨕᨙᨑᨚ,bolaèro
ᨅᨚᨒᨊ,bolana
