aksara_latin,arti
abbacang,bacaan
abbacangngè,bacaan
abbatirenna,bekasnya
abbicara-bicarangeng,percakapan
abinasangngè,kebinasaan
abu,abu
accuanna,polanya
acennorenna,kenyaringannya
ada,kata
ada-adaè,kata-kata
adaè,kata
adanna,perkataanya
adatta',perkataan anda
addampeng,maaf
addidi,lidi
ade',adat
ade' pituè,dewan adat yang terdiri dari 7 orang
ade'ta,adat kita
aga,apa
agagaè,barang kita
agaganna,barangnya
agama,agama
agana,apakah
agatu,apa
aggurung,pelajaran
aggurungèdè,pembelajaran
aggurungèwè,pembelajaran
aggurungngè,pembelajaran
aisah,aisyah (nama orang)
aja',jangan
ajaretta,yang diajarkan
aja'to,jangan juga
ajattappareng,ajattappareng (nama tempat di pare-pare)
ajoppangetta',perjalanan hidup
akatuwongengngè,kehidupan
akatuwo-tuwongengngè,kehidupan
akessingeng,kebaikan
akessingenna,kebaikannya
akkalèbarakeng,dijadikan ibarat
akkalenna,akalnya
akkalèruddukeng,perbandingan
akkalibinèngengngè,berkeluarga
akkanrè-anrèna,tancapannya
akkarungeng,kerajaan
akkarungengè,kerajaan
akkarungenna,kerajaannya
akkataè,tujuan
akkatenningeng,pegangan
akkatta,tujuan
akkattana,tujuannya
akkatuonna,kehidupannya
akkatuwongè,kehidupan
akkatuwonna,dalam kehidupannya
akkèbettuangi,yang berarti
akkègunana,kegunaannya
akkègunangenna,kegunaannya
akkuasangenna,kekuasaannya
akorang,al-qur'an
ala,ambil
alaihi,alaihi
alaikum,alaikum
alè,diri
alè-alè,sendiri
alèku’,diriku
alempuko,jujurlah
alempureng,kejujuran
alempurengè,kejujuran
alèna,dirinya
alèta’,diri anda
alèwè,diri kita
ali,ali (nama orang)
alisi'mu,alismu
alitta,alitta (nama desa di pinrang)
alla,jua
allahu,allahu
alliri,tiang
amaccangenna,kepintarannya
amanna,ayahnya
amasagènangenge,kesuksesan
amaurènami,hanya keponakannya
ambo’ku’,bapakku
ambo’na,bapaknya
amina,amina (nama orang)
ammao,dalam
ammasi,siapa tahu
ampalajèngngekga,semak berlukar
ampè,sikap
ampulajeng,semak (nama tumbuhan)
amurènami,hanya pamannya
ana’,anak
ana’na,anaknya
ana'sikolaè,anak sekolah
andi,andi (gelar bangsawan untuk suku bugis)
anging,angin
angke',nilai
angke'-angke',nilai-nilai
angke'-angke'na,nilai-nilainya
angke'na,nilainya
anu,sesuatu
anurena,keponakannya
anyarang,kuda
apa',sebab
apaccingeng,kesucian
apaissengnge,diperkenalkan
api,api
appang,bahwa
apparèntangenna,pemerintahannya
appong,asal
appongenna,asal usul
ara',arab
araja,kekuasaan
arè’,hal
arua,delapan
arumponè,raja bone
arung,raja
arungna,rajanya
aruwa,delapan
asalamakengè,keselamatan
asè,padi
asellengengè,keislaman
aseng,nama
asenna,namanya
asèssangeng,kesulitan
asèwèritu,padi itu
asitolottolongenna,saling tolong-menolong
assalamu,assalamu
assalenna,asal usulnya
assilaingenna,perbedaannya
assilèo-lèoretta,kehidupan kita
assimellereng,berkasih-kasihan
assimellèrengta,cinta kita
assisompungenna,hubungannya
assiwolompolongngè,hidup berkeluarga
ataè,bawahan
atepperenna,kepercayaannya
ati,hati
atikku’,hati saya
atimmu,hatimu
atinna,hatinya
atinrono,tidurlah
atongengngè,kebenaran
atoreng,aturan
atoro',atur
attenning,pegang
atu,susun
atu'atu',susunan
atu-atuna,strukturnya
atukennana,kegunaannya
atuna,aturannya
atuong,kehidupan
atuongèng,hidup
atuongenna,kehidupannya
atuonna,hidupnya
atuwotta,hidup kita
awa,bawah
awaraningengngè,keberanian
awatangeng,kekuatan
awatangenna,kekuatannya
awatangennami,kekuatannyalah
ba,ba
babuamu,perutmu
baca,membaca
baca-baca,mantra
baca-bacaè,mantra itu
bacai,bacalah
baco,baco (sapaan untuk anak laki-laki bugis)
bagenda,baginda
baiccuè,yang kecil
bajoè,bajo
bakare',bakar (nama jalan di pare-pare)
balana’,belanak (ikan laut)
balandaè,belanda itu
balesena,bekalnya sudah habis
balessè,tempat yang terbuat dari daun lontara atau daun palem untuk menyimpan sesuatu
bali,jawab
bali',di balik
balini,jawablah
baliwi,jawablah
baliwi,lawanlah
balo,warna
balu’,menjual
balu’ku,jualan saya
balu'-balu'ku,daganganku
bampa,pukul
banna,dalam
bantuang,bantuan
bara',agar
barakka’,berkah
barakka’mu,berkahmu
barakkuammengngi,agar
barisi’,baris
barisi'na,barisnya
baru,baru
basa,bahasa
basana,bahasanya
baso,baso (nama orang)
bata',jagung
batèna,caranya
batèta,cara kita
batu,batu
bau',bau
bawang,hanya
bawangenna,bawaannya
bawanna,saja
bèbè,air liur
bedda’,bedak
beddu,beddu (nama orang)
bèla,kata sapaan pada teman yang akrab
bèlo,hias
bènnèng,andai
bentu’,bentuk
berru,barru
bètè,ikan teri (nama jenis ikan)
bettuang,makna
bettuanna,maknanya
bettuwanna,maknanya
bèu,beu (nama orang)
biasamutoai,biasa juga
biasani,dia sudah biasa
bicara,bicara
bicaraè,perkataan
bidadari,bidadari
bili’,kamar
biritta,berita
bokong,ketupat
bola,rumah
bolaèro,rumah itu
bolana,rumahnya
bolata’,rumah kita
bolong,hitam
bonè,bone (nama kabupaten di sulawesi selatan)
bosi,hujan
bottimparuè,pengantin baru
botting,pengantin
bottingngè,pengantin itu
buana,buahnya
budayawang,budayawan
buka,buka
buki',bukit
bulu’,gunung
bunga,kembang
bunge’,awal
bunge’è,yang awal
bunge’i,dia yang awal
bunge'na,awalnya
ca,ca
ca'bèruna,senyumnya
cahaya,cahaya
cahayamu,cahayamu
caiya,cahaya
cakkaruddu',mengantuk
campa',penyakit campak
cani’,madu
cani'i,madu itu
cappa’,ujung
cara,cara
caraddè’na,cakapnya
carana,caranya
carata,cara kita
carita,cerita
caritaè,cerita itu
caritai,ceritakan
cèddè'ka,saya hampir
cèkoè,kecurangan
cemmèko,mandilah
cenning,manis
cenningngè,yang manis
cenningrara,mantra pekasih
cèra',bukan bangsawan penuh
cinna,ingin
coco’ni,sudah cocok
colliq,colliq (nama salah satu pejuang wanita asal sulawesi selatan)
daèng,daeng
daèra,daerah
dara,gadis
dare’,kebun
datu’,datuk
daung,daun
dè',tidak
dè’è,tidak
dè’pa,belum
